taxon_name,rank,id
Hecatonema maculans,species,1535340
Glebocarcinus,genus,1235681
Glebocarcinus oregonensis,species,1842845
Cancer jordani,species,504413
Cancer oregonensis,species,88208
Mytilus edulis,species,6550
Polysiphonia hendryi,species,1583041
Cottioidei,suborder,8100
Cottales,infraorder,1490021
Liparidae,family,183715
Liparis,genus,183716
Liparis fucensis,species,433401
Diptera,order,7147
Nematocera,suborder,7148
Bibionomorpha,infraorder,43784
Sciaroidea,superfamily,41830
Sciaridae,family,7184
unclassified Sciaridae,no rank,265459
Sciaridae sp. BOLD-2016,species,1881792
Bradysia,genus,35571
Bradysia sp. BOLD-2016,species,1888048
Sciaridae sp. CNWLH399-12,species,1744551
Agaricomycotina,subphylum,5302
Agaricomycetes,class,155619
Agaricomycetidae,subclass,452333
Agaricales,order,5338
Entolomataceae,family,71934
unclassified Entolomataceae,no rank,1045978
Entolomataceae sp. TRTC156478,species,1045979
Spinulosacea,superorder,41245
Velatida,order,7591
Solasteridae,family,7596
Solaster,genus,7597
Solaster endeca,species,290515
Acartia tonsa,species,136180
Acartia hudsonica,species,198241
Eunicidae,family,104737
Eunice,genus,73379
Eunice valens,species,759316
Hemipodia,genus,1746055
Hemipodia simplex,species,1746056
Pterosiphonia,genus,756392
Pterosiphonia sp. 1dendroidea,species,1582979
Peyssonneliaceae,family,173455
Peyssonnelia,genus,173456
unclassified Peyssonnelia,no rank,512125
Peyssonnelia sp. 3BC,species,1582985
Ammodytes cf. personatus SVT-2013,species,1345640
Ammodytes cf. personatus BOLD:AAB8001,species,980322
Ammodytes personatus,species,215382
unclassified Chordariaceae,no rank,1419720
Chordariaceae sp. 17 AP-2014,species,1535390
Ptenoglossa,infraorder,216299
Janthinoidea,superfamily,216301
Epitoniidae,family,69584
Epitonium,genus,69585
Epitonium sawinae,species,1842844
Laminariocolax,genus,64910
Laminariocolax aecidioides,species,68331
Katharina,genus,34586
Katharina tunicata,species,34587
Eirenidae,family,48402
Eutonina,genus,500024
Eutonina indicans,species,500057
Suberitidae,family,55660
Suberites,genus,55566
Suberites sp. UCMPWC859,species,283539
Syllis elongata CMC01,species,868125
Littorina scutulata,species,31221
Keratosa,subclass,1779147
Dendroceratida,order,119424
Halisarcidae,family,253170
Halisarca,genus,253171
Halisarca dujardini,species,253172
Apodacea,subclass,7694
Apodida,order,7701
Synaptidae,family,7702
Leptosynapta,genus,7703
Leptosynapta clarki,species,747474
Esperiopsidae,family,72179
Amphilectus,genus,942673
Amphilectus fucorum,species,942674
Haptophyceae,no rank,2830
Isochrysidales,order,73020
Noelaerhabdaceae,family,418966
Emiliania,genus,2902
environmental samples,no rank,660912
uncultured Emiliania,species,660913
Emiliania huxleyi,species,2903
Cuthona,genus,154643
Cuthona divae,species,1154714
Haplosclerida,order,6049
Chalinidae,family,6056
Haliclona,genus,6057
Haliclona cf. caerulea Palmyra Atoll 15,species,1713837
Haliclona cf. caerulea Palmyra Atoll 13,species,1713835
Haliclona cf. caerulea Palmyra Atoll 12,species,1713834
Haliclona cf. caerulea Palmyra Atoll 11,species,1713833
Haliclona cf. caerulea Palmyra Atoll 4,species,1713826
Haliclona cf. caerulea Palmyra Atoll 3,species,1713825
Haliclona cf. caerulea Palmyra Atoll 2,species,1713824
Sarcopterygii,no rank,8287
Dipnotetrapodomorpha,no rank,1338369
Tetrapoda,no rank,32523
Amniota,no rank,32524
Mammalia,class,40674
Theria,no rank,32525
Eutheria,no rank,9347
Boreoeutheria,no rank,1437010
Euarchontoglires,superorder,314146
Primates,order,9443
Haplorrhini,suborder,376913
Simiiformes,infraorder,314293
Catarrhini,parvorder,9526
Hominoidea,superfamily,314295
Hominidae,family,9604
Homininae,subfamily,207598
Homo,genus,9605
Homo sapiens,species,9606
Callophyllis flabellulata,species,217481
Opuntiella sp. 2californica,species,1267908
Corallophila,genus,326254
Corallophila eatoniana,species,326255
Calyptraeoidea,superfamily,52626
Calyptraeidae,family,52627
Crepidula,genus,52628
Crepidula fimbriata,species,211753
Archaeobalanidae,family,1072554
Semibalanus,genus,94629
Semibalanus cariosus,species,261876
Mopalia swanii,species,413429
Phloeodictyidae,family,283401
Calyx,genus,295246
Calyx arcuarius,species,1658070
Sarsia,genus,6078
Sarsia sp. SL-2013,species,1345085
Kappaphycus,genus,38543
Kappaphycus sp. 'Hainan',species,1227380
Ectocarpaceae,family,2878
Ectocarpus,genus,2879
unclassified Ectocarpus,no rank,867790
Ectocarpus sp. 8 AP-2014,species,1535364
Staurozoa,class,1927913
Stauromedusae,order,37528
Myostaurida,suborder,1927915
Haliclystidae,family,1927917
Manania,genus,1843203
Manania gwilliami,species,1843204
Microcionidae,family,27926
Holopsamma,genus,458499
Holopsamma helwigi,species,458500
Crepipatella,genus,211796
Crepipatella lingulata,species,211801
Soranthera,genus,328986
Soranthera ulvoidea,species,328987
Ralfsiales,order,891380
Ralfsiaceae,family,31334
unclassified Ralfsiaceae,no rank,1583081
Ralfsioid sp. 4GWS,species,1583082
Protura,class,29999
Protura,order,1652079
Sinentomata,suborder,566642
Fujientomidae,family,289456
Fujientomon,genus,289457
Fujientomon dicestum,species,289458
environmental samples,no rank,333477
Cyclopoida environmental sample,species,664319
Agonidae,family,30972
Hemitripterinae,subfamily,1545924
Nautichthys,genus,274771
Nautichthys oculofasciatus,species,428032
Plumulariidae,family,308572
Plumularia,genus,308573
Plumularia setacea,species,308574
Nereis,genus,6351
Nereis pelagica CMC01,species,868117
Pandalus stenolepis,species,397980
Hippoglossoides,genus,30944
Hippoglossoides elassodon,species,30945
Hippoglossoides robustus,species,382953
Majidae,family,6805
Chionoecetes,genus,41209
Chionoecetes bairdi,species,232428
Cryptochiton,genus,6654
Cryptochiton stelleri,species,6655
Gattyana,genus,328593
Gattyana cirrhosa,species,862912
Anomura,infraorder,6738
Galatheoidea,superfamily,115588
Munididae,family,1124584
Munida,genus,136693
Munida quadrispina,species,177235
Paracanthomorphacea,no rank,1489838
Zeiogadaria,no rank,1489841
Gadariae,no rank,1489843
Gadiformes,order,8043
Gadoidei,suborder,1489845
Gadidae,family,8045
Gadus,genus,8048
Gadus chalcogrammus,species,1042646
environmental samples,no rank,1476749
fish environmental sample,species,1476750
Gadus chalcogrammus chalcogrammus,subspecies,442960
Phyllodoce,genus,222014
Phyllodoce groenlandica,species,329443
Hyas,genus,361633
Hyas coarctatus,species,362706
Cucumaria piperata,species,42204
Harmothoe,genus,46594
Harmothoe imbricata CMC05,species,867317
Phyllophoridae,family,42389
Thyonidium,genus,869204
Thyonidium drummondii,species,869205
Capuloidea,superfamily,216295
Trichotropidae,family,211820
Trichotropis,genus,211821
Trichotropis cancellata,species,211822
Calanus marshallae,species,136139
Calanus glacialis,species,113644
Pentamera,genus,42390
Pentamera cf. pseudocalcigera EAC-2010,species,861516
Isopoda,order,29979
Epicaridea,suborder,96842
Bopyridoidea,superfamily,116689
Bopyridae,family,155698
Bopyroides,genus,398853
Bopyroides hippolytes,species,398854
Bylgides,genus,868080
Bylgides macrolepidus,species,868081
Metacarcinus magister,species,29965
Enopla,class,6225
Bdellonemertini,subclass,592023
Bdellonemertea,order,88946
Malacobdellidae,family,592024
Malacobdella,genus,166026
Malacobdella grossa,species,166027
Crangon communis,species,397944
Polysiphonia brodiei,species,159751
Gattyana ciliata,species,328594
Pinnixa,genus,84655
Pinnixa faba,species,585914
Hermaeidae,family,749955
Hermaea,genus,749956
Hermaea oliviae,species,1522319
Eunoe,genus,862924
Eunoe sp. BOLD:AAG5099,species,1082621
Mopalia kennerleyi,species,413425
Pandalus borealis,species,6703
Tonicella undocaerulea,species,1421153
Thysanoessa,genus,48145
Thysanoessa raschii,species,409302
Mopalia sinuata,species,430715
Hyas araneus,species,361634
Ascomycota,phylum,4890
saccharomyceta,no rank,716545
Pezizomycotina,subphylum,147538
leotiomyceta,no rank,716546
dothideomyceta,no rank,715962
Dothideomycetes,class,147541
Dothideomycetidae,subclass,451867
Capnodiales,order,134362
Cladosporiaceae,family,452563
Cladosporium,genus,5498
Cladosporium bruhnei,species,450181
Brachycera,suborder,7203
Muscomorpha,infraorder,43733
Eremoneura,no rank,480118
Cyclorrhapha,no rank,480117
Aschiza,no rank,43737
Platypezoidea,superfamily,43739
Phoridae,family,36164
Metopininae,subfamily,43831
Megaseliini,tribe,192434
Megaselia,genus,36165
Megaselia sp. BOLD-2016,species,1881774
unclassified Phoridae,no rank,82169
Phoridae sp. BOLD:AAP6422,species,1694394
Paguroidea,superfamily,6744
Paguridae,family,6745
Pagurus,genus,6746
Pagurus hirsutiusculus,species,174398
Cladosporium herbarum,species,29918
Dictyosiphon,genus,64908
Dictyosiphon sp. 3GWS,species,1241005
Amphiesmenoptera,no rank,85604
Lepidoptera,order,7088
Glossata,suborder,41191
Neolepidoptera,infraorder,41196
Heteroneura,parvorder,41197
Ditrysia,no rank,37567
Gelechioidea,superfamily,37581
Autostichidae,family,347822
Symmocinae,subfamily,262434
Oegoconia,genus,347753
Oegoconia novimundi,species,454280
Psettichthys,genus,195638
Psettichthys melanostictus,species,195639
Laminariocolax macrocystis,species,68333
Cuthona sp. 7 CCS-2010,species,763539
Mopalia cirrata,species,430718
Gigartinaceae,family,29217
Chondracanthus,genus,29218
Chondracanthus exasperatus,species,95348
Chaetopteridae,family,6378
Mesochaetopterus,genus,104706
Mesochaetopterus taylori,species,352254
Ophiactidae,family,41169
Ophiopholis,genus,35051
Ophiopholis kennerlyi,species,869194
Clionaida,order,1779155
Clionaidae,family,76784
Cliona,genus,76785
Cliona chilensis,species,880269
Lithodidae,family,6739
Cryptolithodes,genus,174326
Cryptolithodes typicus,species,174328
Pugettia gracilis,species,553013
Neocalanus,genus,119367
Neocalanus plumchrus,species,119370
Phyllophoraceae,family,28021
Ozophora,genus,38479
Ozophora norrisii,species,207666
Eucalanus californicus,species,248753
unclassified Cirratulidae,no rank,862960
Cirratulidae sp. BOLD:AAH0062,species,1082620
Hyas coarctatus alutaceus,subspecies,362707
Clausocalanus,genus,148995
Clausocalanus parapergens,species,149007
Platichthys,genus,8259
Platichthys stellatus,species,195632
Pandalus goniurus,species,397976
Mazzaella,genus,29228
Mazzaella splendens,species,29236
Pyropia,genus,1094566
Pyropia nereocystis,species,1683810
Hoplonemertea,subclass,6226
Monostilifera,order,6227
Emplectonematidae,family,6228
Emplectonema,genus,6229
Emplectonema buergeri,species,187653
Stenogramma,genus,32601
Stenogramma rhodymenioides,species,207669
Sarsia tubulosa,species,264121
Cypraeoidea,superfamily,69556
Velutinidae,family,217735
Marsenina,genus,1631788
Marsenina zadei,species,1631789
Strongylocentrotus,genus,7664
Strongylocentrotus droebachiensis,species,7671
Acrochaetiales,order,31355
Acrochaetiaceae,family,31356
Acrochaetium,genus,31357
Acrochaetium plumosum,species,1582912
Oomycetes,class,4762
Pythiales,order,121069
Pythiaceae,family,4782
Pythium,genus,4797
unclassified Pythium,no rank,228096
Pythium sp. CAL-2011c,species,946377
Lagenidiales,order,4800
Lagenidiaceae,family,4801
Lagenidium,genus,4802
Lagenidium caudatum,species,135481
Stauridiosarsia cliffordi,species,1793162
Syllis alternata CMC02,species,868121
Microcladia,genus,326256
Microcladia coulteri,species,710543
Suberites pagurorum,species,942658
Amphibalanus,genus,637416
Amphibalanus improvisus,species,1220549
Thelepus,genus,36106
Thelepus cincinnatus,species,36107
Glycera nana,species,529236
Nereis vexillosa,species,335489
Coryne,genus,58816
Coryne eximia,species,264117
Peyssonnelia sp. 10BC,species,1582982
Eudistylia,genus,6363
Eudistylia vancouveri,species,6364
prasinophytes,no rank,3152
Mamiellophyceae,class,1035538
Mamiellales,order,13792
Mamiellaceae,family,41873
Micromonas,genus,38832
Micromonas pusilla,species,38833
Dodecaceria sp. CMC01,species,868055
Epigamia,genus,418315
Epigamia magna,species,884645
Corallinophycidae,subclass,1443949
Corallinales,order,31395
Corallinaceae,family,31396
Corallinoideae,subfamily,48611
Crusticorallina,genus,1883118
Crusticorallina adhaerens,species,1883120
Pseudolithophyllum,genus,239170
Pseudolithophyllum sp. 5muricatum,species,1141739
Flabellinoidea,superfamily,1287639
Flabellinidae,family,71483
Flabellina,genus,71484
Flabellina sp. KL01,species,1421156
Leathesia,genus,27962
Leathesia marina,species,1053873
Phasianelloidea,superfamily,1756885
Colloniidae,family,1756887
Homalopoma,genus,216103
Homalopoma baculum,species,1421126
Haliclona xena,species,177572
Rhodochorton,genus,39575
Rhodochorton sp. 2BC,species,1271531
Rhodochorton sp. GWS-2015a,species,1755298
Pseudolithophyllum sp. 2whidbeyense,species,1503848
Amoebozoa,no rank,554915
Discosea,no rank,555280
Flabellinia,no rank,1485085
Dactylopodida,no rank,555392
Squamamoeba,genus,1280930
Squamamoeba japonica,species,1167875
Bacillariophyceae,class,33849
Bacillariophycidae,no rank,33850
Bacillariales,order,33851
Bacillariaceae,family,33852
Pseudo-nitzschia,genus,41953
Pseudo-nitzschia delicatissima,species,44447
Bathycoccaceae,family,1525212
Bathycoccus,genus,41874
Bathycoccus prasinos,species,41875
Calyptraea,genus,146263
Calyptraea fastigata,species,211685
Spinulosida,order,55644
Echinasteridae,family,60576
Henricia,genus,60577
Henricia sp. AAI1811,species,1898578
Henricia sp. BOLD:AAI1811,species,1106101
Culicomorpha,infraorder,43786
Chironomoidea,superfamily,41828
Chironomidae,family,7149
unclassified Chironomidae,no rank,305539
Chironomidae sp. BOLD-2016,species,1881752
Bugula dentata,species,178312
Scyphozoa,class,6142
Semaeostomeae,order,6143
Ulmaridae,family,37526
Aurelia,genus,6144
Aurelia labiata,species,184214
Harpacticoida,order,41212
unclassified Harpacticoida,no rank,610333
Harpacticoida sp. DNZ085,species,1484672
Pista,genus,104724
Pista wui,species,868041
Phyllodoce medipapillata,species,868040
Stephanopyxidaceae,family,33842
Stephanopyxis,genus,3006
Stephanopyxis turris,species,515487
Callophyllis violacea,species,31433
Polycirrus,genus,516039
Polycirrus sp. CMC05,species,868074
Neoamphitrite,genus,868090
Neoamphitrite robusta CMC02,species,868113
Wildemania,genus,1034309
Wildemania amplissima,species,1034310
Pseudosuberites,genus,283540
Pseudosuberites nudus,species,1658086
Halichondria sp. DE-2012,species,1165036
Colaconematales,order,658648
Colaconemataceae,family,658649
Colaconema,genus,173032
Colaconema pectinatum,species,209635
Ectocarpus siliculosus,species,2880
Compsopogonophyceae,class,930023
Erythropeltidales,order,31351
Erythropeltidaceae,family,33660
Smithora,genus,33661
Smithora naiadum,species,82561
Grammonema,genus,497706
Grammonema striatula,species,33645
Pholoe,genus,222012
Pholoe sp. CMC02,species,868068
Cratenemertidae,family,187722
Nipponnemertes,genus,324885
Nipponnemertes bimaculata,species,187721
Cirratulus,genus,104698
Cirratulus cf. cirratus MW-2014,species,1549852
Cirratulus cirratus CMC01,species,868099
Scalidophora,superphylum,1215728
Priapulida,phylum,33467
Priapulidae,family,37891
Priapulus,genus,37847
Priapulus caudatus,species,37621
Cecidomyiidae,family,33406
unclassified Cecidomyiidae,no rank,329961
Cecidomyiidae sp. BOLD-2016,species,1881751
Callophyllis beringensis,species,1197119
Aspidochirotacea,subclass,7681
Aspidochirotida,order,7682
Stichopodidae,family,7687
Parastichopus,genus,7688
Parastichopus californicus,species,7689
Leptofauchea,genus,319518
Leptofauchea pacifica,species,319519
Bergstroemia,genus,868078
Bergstroemia nigrimaculata,species,868079
Orthocladiinae,subfamily,43808
unclassified Orthocladiinae,no rank,559852
Orthocladiinae sp. BOLD-2016,species,1881783
Odonthalia,genus,282365
Odonthalia floccosa,species,282366
Mastocarpus,genus,29226
Mastocarpus latissimus,species,1088773
Mastocarpus papillatus complex,no rank,415930
Mastocarpus papillatus BOLD:AAA5480,species,1051354
Haliclystus,genus,37533
Haliclystus sanjuanensis,species,168739
Gloiosiphoniaceae,family,31424
Gloiosiphonia,genus,31425
Gloiosiphonia verticillaris,species,1583022
Pycnococcaceae,family,41878
Pycnococcus,genus,41879
Pycnococcus provasolii,species,41880
Cymatosirophycidae,subclass,420265
Cymatosirales,order,420262
Cymatosiraceae,family,49244
Minutocellus,genus,265542
Minutocellus polymorphus,species,265543
Nemastomatales,order,199699
Schizymeniaceae,family,42185
Schizymenia,genus,38367
Schizymenia pacifica,species,38372
Petalonia fascia,species,2893
Schizophora,no rank,43738
Calyptratae,no rank,43742
Muscoidea,superfamily,43754
Fanniidae,family,27471
Fannia,genus,95468
Fannia armata,species,95469
Orthocladius,genus,288845
Orthocladius sp. BOLD-2016,species,1887114
Scytosiphon,genus,27966
Scytosiphon lomentaria,species,27967
Scytosiphon sp. 1 GWS-2013,species,1403535
Sarcodiotheca furcata,species,38401
Oceaniidae,family,367915
Turritopsis,genus,308578
Turritopsis lata,species,1246326
Calycella,genus,314528
Calycella syringa,species,314529
Ectocarpus sp. 3 AP-2014,species,1535359
Lottia scutum,species,351231
Eubranchus rustyus,species,763125
Hymenena,genus,128538
Hymenena kylinii,species,994792
Hymenena sp. GWS002901,species,746116
Actiniidae,family,42822
Urticina,genus,45620
Urticina eques,species,417072
Urticina lofotensis,species,57904
Urticina crassicornis,species,45621
Urticina sp. 'Reversing Falls miniature',species,57905
Haliclona sp. E GPM-2011,species,1091071
Haliclona implexiformis,species,458497
Neoamphitrite robusta CMC01,species,868112
Orbiniidae,family,46603
Naineris,genus,273008
Naineris quadricuspida,species,273010
Hymedesmiidae,family,252956
Phorbas,genus,252957
Phorbas bihamiger,species,1336880
Dorvillea,genus,160441
Dorvillea sp. CMC02,species,868058
Hiatella,genus,120430
Hiatella sp. I HML-2015,species,1638754
Halymeniales,order,50289
Halymeniaceae,family,31453
Prionitis,genus,31456
Prionitis sternbergii,species,469967
Pyropia perforata,species,182771
Rhodoptilum,genus,189645
Rhodoptilum plumosum,species,189646
Euthora,genus,173451
Euthora timburtonii,species,994791
Fucus spiralis,species,87149
Fucus vesiculosus,species,49266
Pycnogonida,class,57294
Pantopoda,order,373319
Phoxichilidiidae,family,88311
Anoplodactylus,genus,88309
Anoplodactylus viridintestinalis,species,373268
Corambe,genus,1639836
Corambe steinbergae,species,1639839
Gracilariales,order,31468
Gracilariaceae,family,31469
Gracilariopsis,genus,2781
Gracilariopsis andersonii,species,408198
Gracilariopsis lemaneiformis,species,2782
Psolidae,family,36322
Psolus,genus,36323
Psolus chitonoides,species,42201
Neorhodomela,genus,159597
Neorhodomela oregona,species,756387
Strongylocentrotus pallidus,species,7670
Myrianida,genus,199196
Myrianida irregularis,species,884652
Membranoptera,genus,158697
Membranoptera platyphylla,species,1204437
Skeletonema marinoi-dohrnii complex,no rank,1171708
Skeletonema dohrnii,species,267566
Skeletonema marinoi,species,267567
Fryeellaceae,family,748682
Fryeella,genus,81604
Fryeella gardneri,species,81605
Myrianida dentalia,species,884648
Acrochaetium alariae,species,1403454
Acrochaetium sp. GWS002149,species,746114
Porphyra,genus,2784
Porphyra mumfordii,species,182768
Laonice cirrata CMC02,species,868104
unclassified Sabellidae,no rank,862961
Sabellidae sp. CMC01,species,875828
Cladosporium tenuissimum,species,70808
Blepsias,genus,573212
Blepsias cirrhosus,species,573213
Nautichthys robustus,species,557353
Thalassiosira punctigera,species,265564
Polycirrus sp. CMC02,species,868072
Harmothoe imbricata CMC01,species,867316
Lepetodriloidea,superfamily,216279
Lepetodrilidae,family,47540
Clypeosectus,genus,205505
Clypeosectus sp. CET-2005,species,315761
Cryptopleura,genus,131057
Cryptopleura ruprechtiana,species,131095
Microspongium,genus,133513
Microspongium tenuissimum,species,190706
Cottidae,family,8092
Artedius,genus,274757
Artedius harringtoni I,species,1154591
Artedius harringtoni,species,433399
Mopalia lignosa,species,413426
Sargassaceae,family,3014
Sargassum,genus,3015
Sargassum muticum,species,74468
Sargassum confusum,species,74091
Silvetia,genus,93834
Silvetia siliquosa,species,93837
Sargassum naozhounse,species,1159338
Amphiporidae,family,120982
Amphiporus,genus,120983
Amphiporus imparispinosus,species,187593
Plumularia lagenifera,species,401960
Bangia fuscopurpurea,species,101920
Senticaudata,suborder,1732196
Corophiida,infraorder,1732200
Caprellidira,parvorder,116674
Photoidea,superfamily,1732212
Ischyroceridae,family,371444
Jassa,genus,371448
Jassa staudei,species,496418
Mazzaella rosea,species,95357
Rhynchonelliformea,subphylum,115369
Rhynchonellata,class,115371
Terebratulida,order,7578
Terebratellidina,suborder,115390
Laqueoidea,superfamily,115392
Laqueidae,family,33476
Terebratalia,genus,34512
Terebratalia transversa,species,34513
Pseudoscourfieldia,genus,41885
Pseudoscourfieldia marina,species,41886
Callyspongiidae,family,178536
Callyspongia,genus,178537
Callyspongia siphonella,species,469330
Syllis elongata CMC02,species,868126
Callophyllis heanophylla,species,1197121
Prionospio,genus,94674
Prionospio steenstrupi,species,94675
Cylindrotheca,genus,2852
Cylindrotheca closterium,species,2856
Oweniida,infraorder,725113
Oweniidae,family,39832
Galathowenia,genus,1037241
Galathowenia oculata,species,1037242
Harmothoe imbricata CMC03,species,880912
Biddulphiophycidae,subclass,33837
Hemiaulales,order,420267
Hemiaulaceae,family,49250
Eucampia,genus,49251
Eucampia zodiacus,species,444606
Pseudo-nitzschia hasleana,species,1041512
Pisaster ochraceus,species,7612
Evasterias,genus,7615
Evasterias troschelii,species,7616
Cardioidea,superfamily,105710
Cardiidae,family,55708
Clinocardium,genus,241157
Clinocardium nuttallii,species,410350
Dictyochophyceae,class,39119
Dictyochales,order,35685
Dictyocha,genus,35686
Dictyocha speculum,species,35687
Aplanulata,suborder,1612408
Corymorphidae,family,264056
Hataia,genus,1186926
Hataia parva,species,1186927
Turnerella,genus,38559
Turnerella sp. 1Cal,species,1583050
Stiliger,genus,649605
Stiliger fuscovittatus,species,1522354
Neotrypaea sp. SP10 BP-2008,species,491801
Platyhelminthes,phylum,6157
Cestoda,class,6199
Eucestoda,subclass,6200
Tetrabothriidea,order,108281
Tetrabothriidae,family,108283
unclassified Tetrabothriidae,no rank,1577534
Tetrabothriidae sp. BOLD:AAM7874,species,1577535
Melicertidae,family,323305
Melicertum,genus,323306
Melicertum octocostatum,species,323307
Leitoscoloplos,genus,273004
Leitoscoloplos pugettensis CMC01,species,868105
Polychaeta incertae sedis,no rank,1649654
Saccocirridae,family,36128
Saccocirrus,genus,36129
Saccocirrus sp. CMC01,species,868076
